"ProcessName","Path","Id"
"AppleMobileDeviceProcess","C:\Program Files\WindowsApps\AppleInc.iTunes_12121.1.54014.0_x64__nzyj5cx40ttqa\AMDS64\AppleMobileDeviceProcess.exe","3968"
"ApplicationFrameHost","C:\WINDOWS\system32\ApplicationFrameHost.exe","9772"
"audiodg","C:\WINDOWS\system32\AUDIODG.EXE","11928"
"CompPkgSrv","C:\Windows\System32\CompPkgSrv.exe","10528"
"conhost","C:\WINDOWS\system32\conhost.exe","1508"
"conhost","C:\WINDOWS\system32\conhost.exe","1908"
"conhost","C:\WINDOWS\system32\conhost.exe","3612"
"csrss",,"620"
"csrss",,"720"
"ctfmon","C:\WINDOWS\system32\ctfmon.exe","7004"
"Discord","C:\Users\Quentin DeGiorgio\AppData\Local\Discord\app-1.0.9003\Discord.exe","980"
"Discord","C:\Users\Quentin DeGiorgio\AppData\Local\Discord\app-1.0.9003\Discord.exe","1324"
"Discord","C:\Users\Quentin DeGiorgio\AppData\Local\Discord\app-1.0.9003\Discord.exe","1676"
"Discord","C:\Users\Quentin DeGiorgio\AppData\Local\Discord\app-1.0.9003\Discord.exe","3316"
"Discord","C:\Users\Quentin DeGiorgio\AppData\Local\Discord\app-1.0.9003\Discord.exe","4960"
"Discord","C:\Users\Quentin DeGiorgio\AppData\Local\Discord\app-1.0.9003\Discord.exe","8620"
"dllhost","C:\WINDOWS\system32\DllHost.exe","1828"
"dllhost","C:\WINDOWS\system32\DllHost.exe","11692"
"dwm","C:\WINDOWS\system32\dwm.exe","1440"
"EasyResume","C:\WINDOWS\SysWOW64\Lenovo\PowerMgr\EasyResume.exe","4280"
"explorer","C:\WINDOWS\Explorer.EXE","7260"
"firefox","C:\Program Files\Mozilla Firefox\firefox.exe","2136"
"firefox","C:\Program Files\Mozilla Firefox\firefox.exe","5964"
"firefox","C:\Program Files\Mozilla Firefox\firefox.exe","7192"
"firefox","C:\Program Files\Mozilla Firefox\firefox.exe","7316"
"firefox","C:\Program Files\Mozilla Firefox\firefox.exe","7708"
"firefox","C:\Program Files\Mozilla Firefox\firefox.exe","8048"
"firefox","C:\Program Files\Mozilla Firefox\firefox.exe","9916"
"firefox","C:\Program Files\Mozilla Firefox\firefox.exe","10200"
"firefox","C:\Program Files\Mozilla Firefox\firefox.exe","12352"
"firefox","C:\Program Files\Mozilla Firefox\firefox.exe","13380"
"fontdrvhost","C:\WINDOWS\system32\fontdrvhost.exe","464"
"fontdrvhost","C:\WINDOWS\system32\fontdrvhost.exe","704"
"hamachi-2","C:\Program Files (x86)\LogMeIn Hamachi\x64\hamachi-2.exe","3972"
"hamachi-2-ui","C:\Program Files (x86)\LogMeIn Hamachi\hamachi-2-ui.exe","10300"
"HPPrintScanDoctorService","C:\Program Files\HPPrintScanDoctor\HPPrintScanDoctorService.exe","4000"
"HxOutlook","C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.14326.20520.0_x64__8wekyb3d8bbwe\HxOutlook.exe","13952"
"HxTsr","C:\Program Files\WindowsApps\microsoft.windowscommunicationsapps_16005.14326.20520.0_x64__8wekyb3d8bbwe\HxTsr.exe","10204"
"ibmpmsvc","C:\WINDOWS\system32\ibmpmsvc.exe","1868"
"ibtsiva","C:\WINDOWS\system32\ibtsiva.exe","4008"
"Idle",,"0"
"igfxCUIService","C:\WINDOWS\system32\igfxCUIService.exe","2408"
"igfxEM","C:\WINDOWS\system32\igfxEM.exe","7580"
"igfxHK","C:\WINDOWS\system32\igfxHK.exe","7596"
"igfxTray","C:\WINDOWS\system32\igfxTray.exe","7616"
"jhi_service","C:\WINDOWS\System32\DriverStore\FileRepository\dal.inf_amd64_ffc75848a6342fdf\jhi_service.exe","4828"
"jucheck","C:\Program Files (x86)\Common Files\Java\Java Update\jucheck.exe","6328"
"jusched","C:\Program Files (x86)\Common Files\Java\Java Update\jusched.exe","9856"
"LMIGuardianSvc","C:\Program Files (x86)\LogMeIn Hamachi\x64\LMIGuardianSvc.exe","4296"
"LockApp","C:\WINDOWS\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe","9164"
"lsass","C:\WINDOWS\system32\lsass.exe","848"
"Memory Compression",,"2256"
"micmute","C:\Program Files\LENOVO\HOTKEY\MICMUTE.exe","4180"
"Microsoft.Photos","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2021.21090.10007.0_x64__8wekyb3d8bbwe\Microsoft.Photos.exe","3896"
"MoUsoCoreWorker","C:\Windows\System32\mousocoreworker.exe","5936"
"MpCopyAccelerator",,"2252"
"MsMpEng",,"4220"
"NisSrv",,"5600"
"PowerMgr","C:\WINDOWS\SysWOW64\Lenovo\PowerMgr\PowerMgr.exe","6496"
"powershell","C:\Windows\System32\WindowsPowerShell\v1.0\powershell.exe","11964"
"powershell_ise","C:\WINDOWS\system32\WindowsPowerShell\v1.0\PowerShell_ISE.exe","12784"
"PresentationFontCache","C:\WINDOWS\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe","6720"
"RAVBg64","C:\Program Files\Realtek\Audio\HDA\RAVBg64.exe","2396"
"RAVBg64","C:\Program Files\Realtek\Audio\HDA\RAVBg64.exe","10776"
"RAVCpl64","C:\Program Files\Realtek\Audio\HDA\RAVCpl64.exe","10764"
"Registry",,"100"
"RtkAudioService64","C:\Program Files\Realtek\Audio\HDA\RtkAudioService64.exe","3088"
"rundll32","C:\WINDOWS\system32\rundll32.exe","13596"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","984"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","1716"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","6112"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","6992"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","7452"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","8064"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","8364"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","9544"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","9892"
"RuntimeBroker","C:\Windows\System32\RuntimeBroker.exe","10168"
"SearchApp","C:\WINDOWS\SystemApps\Microsoft.Windows.Search_cw5n1h2txyewy\SearchApp.exe","8284"
"SearchFilterHost","C:\WINDOWS\system32\SearchFilterHost.exe","14380"
"SearchIndexer","C:\WINDOWS\system32\SearchIndexer.exe","4120"
"SearchProtocolHost","C:\WINDOWS\system32\SearchProtocolHost.exe","11300"
"SecurityHealthService",,"10028"
"SecurityHealthSystray","C:\Windows\System32\SecurityHealthSystray.exe","9996"
"SensorDBSynch","C:\Program Files\Synaptics\SynFp\Shared\SensorDBSynch.exe","3864"
"services",,"784"
"SettingSyncHost","C:\WINDOWS\system32\SettingSyncHost.exe","9212"
"SgrmBroker",,"11552"
"ShellExperienceHost","C:\WINDOWS\SystemApps\ShellExperienceHost_cw5n1h2txyewy\ShellExperienceHost.exe","260"
"shtctky","C:\PROGRA~1\Lenovo\HOTKEY\SHTCTKY.EXE","1636"
"sihost","C:\WINDOWS\system32\sihost.exe","6268"
"smartscreen","C:\Windows\System32\smartscreen.exe","11228"
"smss",,"432"
"spoolsv","C:\WINDOWS\System32\spoolsv.exe","3600"
"StartMenuExperienceHost","C:\WINDOWS\SystemApps\Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy\StartMenuExperienceHost.exe","6912"
"steam","C:\Program Files (x86)\Steam\steam.exe","10104"
"steamservice","C:\Program Files (x86)\Common Files\Steam\steamservice.exe","10188"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","3516"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","4432"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","5640"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","10160"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","10212"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","11056"
"steamwebhelper","C:\Program Files (x86)\Steam\bin\cef\cef.win7x64\steamwebhelper.exe","11184"
"svchost","C:\WINDOWS\system32\svchost.exe","724"
"svchost","C:\WINDOWS\system32\svchost.exe","1004"
"svchost","C:\WINDOWS\system32\svchost.exe","1084"
"svchost","C:\WINDOWS\system32\svchost.exe","1204"
"svchost","C:\WINDOWS\system32\svchost.exe","1212"
"svchost","C:\WINDOWS\system32\svchost.exe","1228"
"svchost","C:\WINDOWS\System32\svchost.exe","1248"
"svchost","C:\WINDOWS\system32\svchost.exe","1364"
"svchost","C:\WINDOWS\System32\svchost.exe","1572"
"svchost","C:\WINDOWS\system32\svchost.exe","1668"
"svchost","C:\WINDOWS\system32\svchost.exe","1700"
"svchost","C:\WINDOWS\system32\svchost.exe","1756"
"svchost","C:\WINDOWS\system32\svchost.exe","1804"
"svchost","C:\WINDOWS\system32\svchost.exe","1848"
"svchost","C:\WINDOWS\system32\svchost.exe","1888"
"svchost","C:\WINDOWS\system32\svchost.exe","1924"
"svchost","C:\WINDOWS\system32\svchost.exe","2000"
"svchost","C:\WINDOWS\system32\svchost.exe","2016"
"svchost","C:\WINDOWS\System32\svchost.exe","2024"
"svchost","C:\WINDOWS\system32\svchost.exe","2088"
"svchost","C:\WINDOWS\system32\svchost.exe","2144"
"svchost","C:\WINDOWS\System32\svchost.exe","2160"
"svchost","C:\WINDOWS\system32\svchost.exe","2216"
"svchost","C:\WINDOWS\system32\svchost.exe","2296"
"svchost","C:\WINDOWS\system32\svchost.exe","2344"
"svchost","C:\WINDOWS\System32\svchost.exe","2452"
"svchost","C:\WINDOWS\System32\svchost.exe","2572"
"svchost","C:\WINDOWS\system32\svchost.exe","2580"
"svchost","C:\WINDOWS\system32\svchost.exe","2680"
"svchost","C:\WINDOWS\system32\svchost.exe","2732"
"svchost","C:\WINDOWS\system32\svchost.exe","2784"
"svchost","C:\WINDOWS\system32\svchost.exe","2848"
"svchost","C:\WINDOWS\system32\svchost.exe","3032"
"svchost","C:\WINDOWS\System32\svchost.exe","3068"
"svchost","C:\WINDOWS\system32\svchost.exe","3168"
"svchost","C:\WINDOWS\system32\svchost.exe","3216"
"svchost","C:\WINDOWS\System32\svchost.exe","3224"
"svchost","C:\WINDOWS\system32\svchost.exe","3340"
"svchost","C:\WINDOWS\system32\svchost.exe","3400"
"svchost","C:\WINDOWS\System32\svchost.exe","3484"
"svchost","C:\WINDOWS\system32\svchost.exe","3636"
"svchost","C:\WINDOWS\system32\svchost.exe","3712"
"svchost","C:\WINDOWS\system32\svchost.exe","3736"
"svchost","C:\WINDOWS\System32\svchost.exe","3780"
"svchost","C:\WINDOWS\System32\svchost.exe","3928"
"svchost","C:\WINDOWS\system32\svchost.exe","3936"
"svchost","C:\WINDOWS\System32\svchost.exe","3944"
"svchost","C:\WINDOWS\system32\svchost.exe","4016"
"svchost","C:\WINDOWS\System32\svchost.exe","4060"
"svchost","C:\WINDOWS\system32\svchost.exe","4136"
"svchost","C:\WINDOWS\System32\svchost.exe","4164"
"svchost","C:\WINDOWS\system32\svchost.exe","4188"
"svchost","C:\WINDOWS\system32\svchost.exe","4196"
"svchost","C:\WINDOWS\System32\svchost.exe","4304"
"svchost","C:\WINDOWS\system32\svchost.exe","4352"
"svchost","C:\WINDOWS\System32\svchost.exe","4728"
"svchost","C:\WINDOWS\System32\svchost.exe","4784"
"svchost","C:\WINDOWS\System32\svchost.exe","4932"
"svchost","C:\WINDOWS\system32\svchost.exe","5724"
"svchost","C:\WINDOWS\system32\svchost.exe","5828"
"svchost","C:\WINDOWS\system32\svchost.exe","6044"
"svchost","C:\WINDOWS\system32\svchost.exe","6300"
"svchost","C:\WINDOWS\system32\svchost.exe","6380"
"svchost","C:\WINDOWS\system32\svchost.exe","6664"
"svchost","C:\WINDOWS\system32\svchost.exe","6820"
"svchost","C:\WINDOWS\System32\svchost.exe","6848"
"svchost","C:\WINDOWS\System32\svchost.exe","7028"
"svchost","C:\WINDOWS\system32\svchost.exe","7048"
"svchost","C:\WINDOWS\System32\svchost.exe","7280"
"svchost","C:\WINDOWS\system32\svchost.exe","7532"
"svchost","C:\WINDOWS\system32\svchost.exe","8180"
"svchost","C:\WINDOWS\System32\svchost.exe","8744"
"svchost",,"8756"
"svchost","C:\WINDOWS\system32\svchost.exe","10348"
"svchost","C:\WINDOWS\System32\svchost.exe","10964"
"svchost","C:\WINDOWS\system32\svchost.exe","11208"
"svchost",,"11232"
"svchost",,"11716"
"svchost","C:\WINDOWS\system32\svchost.exe","11812"
"svchost","C:\WINDOWS\system32\svchost.exe","12412"
"svchost","C:\WINDOWS\system32\svchost.exe","12764"
"svchost","C:\WINDOWS\System32\svchost.exe","13468"
"SynLenovoHelper","C:\Program Files\Synaptics\SynTP\SynLenovoHelper.exe","6864"
"SynTPEnh","C:\Program Files\Synaptics\SynTP\SynTPEnh.exe","2436"
"SynTPEnhService","C:\Program Files\Synaptics\SynTP\SynTPEnhService.exe","4244"
"SynTPHelper","C:\Program Files\Synaptics\SynTP\SynTPHelper.exe","6440"
"SynTPLpr","C:\Program Files\Synaptics\SynTP\SynTPLpr.exe","6856"
"System",,"4"
"SystemSettings","C:\Windows\ImmersiveControlPanel\SystemSettings.exe","12516"
"taskhostw","C:\WINDOWS\system32\taskhostw.exe","6540"
"Taskmgr","C:\WINDOWS\system32\taskmgr.exe","1328"
"TextInputHost","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\InputApp\TextInputHost.exe","2980"
"tphkload","C:\Program Files\LENOVO\HOTKEY\TPHKLOAD.exe","4228"
"TPMProvisioningService","C:\WINDOWS\System32\DriverStore\FileRepository\iclsclient.inf_amd64_75ffca5eec865b4b\lib\TPMProvisioningService.exe","4044"
"tpnumlkd","C:\Program Files\LENOVO\HOTKEY\tpnumlkd.exe","2508"
"tposd","C:\PROGRA~1\Lenovo\HOTKEY\TPOSD.EXE","2620"
"UserOOBEBroker","C:\Windows\System32\oobe\UserOOBEBroker.exe","8392"
"valWBFPolicyService","C:\WINDOWS\system32\valWBFPolicyService.exe","4144"
"valWbioSyncSvc","C:\WINDOWS\system32\valWbioSyncSvc.exe","4152"
"Video.UI","C:\Program Files\WindowsApps\Microsoft.ZuneVideo_10.21092.10731.0_x64__8wekyb3d8bbwe\Video.UI.exe","5080"
"vmnat","C:\Windows\SysWOW64\vmnat.exe","4264"
"vmnetdhcp","C:\Windows\SysWOW64\vmnetdhcp.exe","4256"
"vmware-authd","C:\Program Files (x86)\VMware\VMware Workstation\vmware-authd.exe","4236"
"vmware-hostd","C:\Program Files (x86)\VMware\VMware Workstation\vmware-hostd.exe","5516"
"vmware-tray","C:\Program Files (x86)\VMware\VMware Workstation\vmware-tray.exe","5248"
"vmware-usbarbitrator64","C:\Program Files (x86)\Common Files\VMware\USB\vmware-usbarbitrator64.exe","4344"
"wininit",,"712"
"winlogon","C:\WINDOWS\system32\winlogon.exe","820"
"WinStore.App","C:\Program Files\WindowsApps\Microsoft.WindowsStore_12107.1001.15.0_x64__8wekyb3d8bbwe\WinStore.App.exe","7884"
"wlanext","C:\WINDOWS\system32\WLANExt.exe","3588"
"WUDFHost","C:\Windows\System32\WUDFHost.exe","392"
"YourPhone","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.21084.79.0_x64__8wekyb3d8bbwe\YourPhone.exe","7360"
